Lote,FechaInicioPlantacion,FechaFinPlantacion,Precipitacion_mm (400-1000),Temperatura_C (18-28),Humedad_porcentaje (50-90),HorasSol_dia (12-13),Altitud_msnm (0-3200),CostoTotal_USD (3000-5000),Produccion_qt (400-500),Produccion_kg (40000-50000),Fertilizante_NPK (N-P-K),ModoRiego (Aspersion/Goteo/Gravedad),Riego_Etapa1_mm (20-50),Riego_Etapa2_mm (30-60),Riego_Etapa3_mm (40-70),DistanciaMecanizacion_m (10-50),DistanciaSiembra_m (0.5-1.0),TipoSuelo (Arenoso/Arcilloso/Franco),pH_Suelo (5.5-7.5)
2501,2841-05-16,2841-09-13,996.65,23.58,61.38,12.63,1892.19,4201.02,494.52,47547.0,N-18 P-18 K-17,Goteo,37.21,55.84,52.0,18.63,0.8,Franco,5.6
2502,2841-09-13,2842-01-11,438.65,18.02,81.32,12.01,3059.17,3576.85,455.54,47945.0,N-10 P-13 K-19,Aspersion,30.33,39.3,69.06,42.5,0.8,Arenoso,7.3
2503,2842-01-11,2842-05-11,703.92,26.86,65.89,12.2,2454.54,3069.07,486.63,42782.0,N-17 P-15 K-18,Goteo,23.01,48.77,52.48,39.16,0.9,Arcilloso,6.2
2504,2842-05-11,2842-09-08,886.52,26.71,56.08,12.55,1481.68,4745.44,465.4,40974.0,N-11 P-17 K-12,Goteo,29.31,46.26,50.34,20.59,0.8,Franco,5.9
2505,2842-09-08,2843-01-06,996.58,21.22,88.82,13.0,2169.27,4779.4,442.36,44416.0,N-10 P-15 K-12,Gravedad,20.83,40.96,41.98,31.18,0.9,Arcilloso,7.2
2506,2843-01-06,2843-05-06,949.12,25.0,83.98,12.57,1293.37,4539.7,487.56,46578.0,N-13 P-15 K-20,Gravedad,20.21,34.77,60.22,29.06,0.6,Franco,6.1
2507,2843-05-06,2843-09-03,642.63,27.28,73.09,12.86,194.36,4848.05,427.56,41259.0,N-20 P-12 K-20,Goteo,38.44,40.05,43.04,25.5,0.9,Franco,6.7
2508,2843-09-03,2844-01-01,598.66,20.49,58.9,12.84,1997.03,3295.96,476.04,42405.0,N-15 P-10 K-14,Aspersion,35.94,55.15,42.32,45.74,1.0,Arenoso,6.0
2509,2844-01-01,2844-04-30,822.1,21.44,69.1,12.62,1587.23,3593.36,453.7,47936.0,N-13 P-18 K-15,Goteo,36.83,33.02,47.14,22.48,0.8,Arcilloso,5.6
2510,2844-04-30,2844-08-28,747.64,20.08,52.67,12.44,1271.84,4032.1,434.37,46274.0,N-19 P-19 K-18,Goteo,48.47,36.54,46.51,49.66,0.6,Franco,7.2
2511,2844-08-28,2844-12-26,856.1,21.96,60.43,12.26,391.64,4726.24,435.32,44358.0,N-17 P-11 K-12,Aspersion,24.49,36.15,62.8,15.47,0.9,Franco,6.4
2512,2844-12-26,2845-04-25,977.36,23.67,55.89,12.16,342.66,4928.18,431.02,47312.0,N-12 P-18 K-18,Gravedad,22.75,47.84,62.89,41.48,0.6,Franco,6.0
2513,2845-04-25,2845-08-23,925.59,21.7,64.15,12.39,2587.42,3233.73,457.45,44415.0,N-15 P-10 K-15,Aspersion,27.57,52.26,57.12,30.07,1.0,Franco,6.7
2514,2845-08-23,2845-12-21,489.82,19.53,86.23,12.49,639.26,4004.91,497.65,42545.0,N-12 P-10 K-20,Goteo,32.37,35.56,42.89,49.06,0.6,Arcilloso,7.0
2515,2845-12-21,2846-04-20,503.52,18.9,72.79,12.14,3191.06,4639.48,466.0,46664.0,N-10 P-18 K-19,Gravedad,24.87,37.71,52.03,29.33,0.6,Arcilloso,6.8
2516,2846-04-20,2846-08-18,793.56,19.35,85.85,12.54,1388.85,4903.53,434.29,40752.0,N-10 P-10 K-12,Gravedad,27.53,48.44,66.32,22.87,0.5,Arcilloso,6.2
2517,2846-08-18,2846-12-16,832.2,18.59,88.52,12.62,1754.81,3766.86,480.04,42162.0,N-15 P-16 K-10,Goteo,45.1,55.77,64.56,29.39,0.5,Arcilloso,6.5
2518,2846-12-16,2847-04-15,861.3,27.41,58.38,12.66,1408.29,4873.53,489.32,43181.0,N-12 P-13 K-20,Aspersion,25.19,56.55,47.3,17.47,0.8,Franco,6.3
2519,2847-04-15,2847-08-13,617.8,20.7,83.18,12.53,1350.59,4145.28,413.53,47244.0,N-13 P-11 K-16,Goteo,21.72,46.57,45.74,46.85,0.9,Arcilloso,5.7
2520,2847-08-13,2847-12-11,818.51,19.39,67.94,12.76,1572.88,3834.6,436.94,45343.0,N-19 P-11 K-19,Gravedad,36.2,30.91,68.98,47.3,0.9,Arcilloso,6.0
2521,2847-12-11,2848-04-09,900.2,25.95,69.96,12.47,103.87,3379.65,460.08,46462.0,N-12 P-14 K-10,Aspersion,36.7,56.68,69.1,27.47,0.5,Franco,5.5
2522,2848-04-09,2848-08-07,770.93,26.44,83.27,12.77,3028.8,4883.48,479.4,46378.0,N-12 P-20 K-20,Gravedad,33.92,48.67,40.52,35.17,1.0,Arcilloso,6.4
2523,2848-08-07,2848-12-05,700.92,23.71,82.3,12.41,2030.27,3033.07,403.24,41907.0,N-13 P-10 K-19,Aspersion,43.8,40.46,43.78,37.77,0.9,Arenoso,5.5
2524,2848-12-05,2849-04-04,587.46,26.74,71.21,12.85,2336.64,3744.3,423.05,49103.0,N-12 P-14 K-15,Gravedad,31.14,44.58,57.42,41.19,0.7,Arenoso,5.9
2525,2849-04-04,2849-08-02,464.14,23.7,62.67,12.78,78.12,4116.64,479.86,47052.0,N-19 P-20 K-20,Goteo,43.2,50.14,60.91,39.51,0.8,Arenoso,6.7
2526,2849-08-02,2849-11-30,731.73,18.5,86.29,12.79,2705.86,4395.62,405.82,46890.0,N-10 P-10 K-13,Aspersion,42.02,50.61,46.31,31.33,0.6,Arenoso,6.4
2527,2849-11-30,2850-03-30,551.5,24.32,66.53,12.28,229.72,4739.95,468.37,47722.0,N-16 P-20 K-15,Goteo,23.86,30.15,45.49,36.37,0.7,Arenoso,7.0
2528,2850-03-30,2850-07-28,679.4,23.85,76.44,12.55,2364.1,4317.44,422.85,44091.0,N-17 P-17 K-18,Aspersion,41.24,49.88,59.2,22.43,0.6,Franco,7.3
2529,2850-07-28,2850-11-25,570.74,18.21,78.95,12.07,309.63,4693.99,409.87,43510.0,N-16 P-19 K-14,Goteo,28.18,42.89,49.22,42.12,0.9,Arenoso,7.5
2530,2850-11-25,2851-03-25,777.3,22.54,72.48,12.62,121.02,3958.61,425.68,49230.0,N-10 P-13 K-12,Gravedad,35.21,56.2,45.52,24.5,0.6,Arenoso,5.6
2531,2851-03-25,2851-07-23,706.28,26.02,82.75,12.2,1910.29,3881.7,444.86,40381.0,N-12 P-16 K-15,Goteo,23.55,57.06,44.05,45.09,0.6,Arenoso,5.5
2532,2851-07-23,2851-11-20,947.78,19.37,57.16,12.4,1639.36,3682.72,411.03,40034.0,N-12 P-19 K-14,Goteo,46.41,34.58,64.66,42.85,0.8,Arcilloso,5.9
2533,2851-11-20,2852-03-19,851.26,18.53,71.63,12.52,427.38,3272.68,444.38,43657.0,N-17 P-20 K-13,Goteo,25.55,37.42,52.63,43.01,0.8,Arenoso,6.4
2534,2852-03-19,2852-07-17,470.8,24.06,74.46,12.54,311.15,3634.11,442.69,44059.0,N-18 P-13 K-10,Aspersion,42.92,50.87,64.98,49.29,0.8,Arcilloso,7.3
2535,2852-07-17,2852-11-14,751.63,23.45,88.11,12.86,834.21,4822.41,411.61,42958.0,N-15 P-20 K-15,Gravedad,37.25,57.97,51.14,21.74,0.8,Arcilloso,7.2
2536,2852-11-14,2853-03-14,667.45,18.79,80.0,12.63,2517.18,4110.61,438.36,45850.0,N-18 P-15 K-14,Aspersion,48.38,47.96,64.71,11.5,0.5,Franco,6.5
2537,2853-03-14,2853-07-12,410.13,18.24,57.22,12.21,655.1,4452.15,407.06,42093.0,N-10 P-20 K-19,Gravedad,29.46,53.0,63.35,19.13,1.0,Arcilloso,7.5
2538,2853-07-12,2853-11-09,440.4,21.22,60.65,12.41,152.52,4629.38,427.73,43842.0,N-10 P-16 K-12,Gravedad,34.64,52.28,50.22,45.16,0.7,Arenoso,5.7
2539,2853-11-09,2854-03-09,581.44,27.53,77.23,12.45,865.06,4755.58,463.0,49040.0,N-13 P-14 K-19,Aspersion,21.01,44.08,65.71,17.53,0.9,Franco,7.0
2540,2854-03-09,2854-07-07,834.55,20.02,77.73,12.6,805.85,3121.42,489.26,45293.0,N-18 P-20 K-10,Goteo,25.57,36.08,63.34,32.24,0.6,Franco,6.1
2541,2854-07-07,2854-11-04,630.86,20.08,68.04,12.83,83.96,4934.77,449.0,44611.0,N-17 P-17 K-16,Goteo,26.09,51.77,40.54,19.18,0.8,Franco,5.7
2542,2854-11-04,2855-03-04,453.96,22.31,85.2,12.22,1205.72,3965.23,456.66,49268.0,N-12 P-11 K-20,Gravedad,39.15,35.33,61.32,49.15,0.8,Arcilloso,7.1
2543,2855-03-04,2855-07-02,691.43,24.38,89.9,12.85,3005.18,3999.27,421.02,43548.0,N-19 P-12 K-20,Gravedad,21.8,59.95,43.17,25.26,0.9,Arenoso,6.9
2544,2855-07-02,2855-10-30,508.62,23.24,86.48,12.5,2562.6,4296.24,400.88,43515.0,N-11 P-19 K-17,Gravedad,30.19,40.27,69.16,14.99,0.8,Arcilloso,6.2
2545,2855-10-30,2856-02-27,584.73,23.07,80.96,12.73,868.5,4291.78,442.51,43202.0,N-15 P-11 K-20,Gravedad,40.93,45.43,66.39,26.96,0.6,Arcilloso,7.0
2546,2856-02-27,2856-06-26,415.41,20.32,87.26,12.26,1101.73,3145.52,471.19,49516.0,N-12 P-15 K-20,Aspersion,34.51,54.52,52.49,29.78,0.6,Franco,6.2
2547,2856-06-26,2856-10-24,513.02,24.3,70.2,12.32,1239.79,3844.83,455.73,47251.0,N-13 P-10 K-16,Gravedad,33.63,33.69,61.89,38.24,0.6,Arcilloso,7.0
2548,2856-10-24,2857-02-21,705.57,25.9,80.98,12.27,2791.46,4649.47,465.56,44780.0,N-14 P-12 K-19,Aspersion,49.58,59.66,46.1,14.12,0.8,Franco,6.2
2549,2857-02-21,2857-06-21,912.85,22.64,61.22,12.66,3193.56,4724.04,459.11,43795.0,N-14 P-11 K-12,Gravedad,40.6,31.2,50.9,41.5,0.9,Arenoso,5.7
2550,2857-06-21,2857-10-19,656.21,23.79,82.52,12.54,710.23,3006.6,480.32,42887.0,N-17 P-15 K-10,Goteo,46.97,49.56,49.82,22.96,0.7,Arcilloso,7.1
2551,2857-10-19,2858-02-16,765.01,25.94,64.8,12.96,3063.93,4490.32,486.14,46338.0,N-14 P-19 K-19,Goteo,39.03,59.09,62.77,14.71,0.9,Arcilloso,7.1
2552,2858-02-16,2858-06-16,960.9,24.16,81.23,12.77,1129.67,3493.06,472.6,45336.0,N-18 P-12 K-17,Aspersion,38.29,42.36,54.87,31.62,1.0,Arenoso,6.9
2553,2858-06-16,2858-10-14,802.88,27.25,73.48,12.37,1218.97,3915.47,412.85,43390.0,N-16 P-17 K-15,Gravedad,34.2,49.65,69.33,23.42,0.7,Franco,7.0
2554,2858-10-14,2859-02-11,666.31,26.0,77.07,12.37,564.59,4574.81,415.74,41379.0,N-19 P-17 K-13,Aspersion,35.27,30.15,51.46,44.54,0.9,Franco,7.0
2555,2859-02-11,2859-06-11,648.54,18.49,59.0,12.94,448.38,3223.33,494.94,47037.0,N-10 P-20 K-16,Aspersion,39.51,54.56,48.09,10.05,0.6,Arcilloso,6.0
2556,2859-06-11,2859-10-09,528.67,20.24,75.6,12.01,2106.98,3288.37,414.17,40706.0,N-11 P-14 K-19,Gravedad,32.61,31.64,62.45,44.18,0.9,Franco,6.5
2557,2859-10-09,2860-02-06,989.41,26.42,73.28,12.86,1009.33,3606.72,428.71,48055.0,N-10 P-19 K-11,Aspersion,22.35,39.52,53.18,21.43,0.6,Arcilloso,6.2
2558,2860-02-06,2860-06-05,892.31,20.1,69.55,12.45,164.65,3638.4,477.33,42667.0,N-19 P-11 K-17,Gravedad,25.37,55.33,48.91,20.23,0.7,Arenoso,6.2
2559,2860-06-05,2860-10-03,415.59,27.16,56.65,12.81,1560.05,3811.93,465.86,41194.0,N-17 P-20 K-14,Goteo,28.46,43.25,68.58,23.82,0.9,Franco,5.7
2560,2860-10-03,2861-01-31,825.49,21.48,57.51,12.3,1155.57,3757.74,496.23,48046.0,N-14 P-15 K-10,Goteo,24.68,59.93,54.44,14.2,0.9,Franco,6.8
2561,2861-01-31,2861-05-31,502.94,22.89,71.71,12.19,1157.43,4397.16,405.32,41262.0,N-14 P-18 K-10,Gravedad,26.78,58.33,48.69,27.5,0.6,Arcilloso,6.6
2562,2861-05-31,2861-09-28,877.75,21.55,79.04,12.25,1644.96,3685.85,427.36,46440.0,N-17 P-18 K-19,Goteo,33.76,38.0,62.0,45.95,0.8,Arenoso,7.2
2563,2861-09-28,2862-01-26,623.16,22.44,81.25,12.4,280.21,3863.28,412.56,47379.0,N-17 P-18 K-16,Goteo,48.7,39.08,60.82,40.23,0.8,Arcilloso,6.1
2564,2862-01-26,2862-05-26,727.82,26.02,78.78,12.33,2078.35,3546.53,425.47,48138.0,N-13 P-15 K-18,Goteo,20.21,42.55,41.64,48.04,0.7,Arcilloso,7.3
2565,2862-05-26,2862-09-23,603.75,27.88,88.29,12.09,2676.51,4848.38,427.31,47517.0,N-17 P-16 K-16,Goteo,39.73,53.77,47.94,13.72,1.0,Arcilloso,6.4
2566,2862-09-23,2863-01-21,573.54,21.52,87.93,12.19,1462.73,3867.49,476.29,42082.0,N-15 P-13 K-12,Goteo,42.79,38.09,55.6,22.27,0.8,Arcilloso,5.8
2567,2863-01-21,2863-05-21,406.9,18.28,83.05,12.22,2521.5,4150.34,443.32,48792.0,N-17 P-12 K-12,Goteo,47.47,44.48,59.1,22.4,0.6,Arcilloso,6.2
2568,2863-05-21,2863-09-18,876.02,18.61,82.28,12.92,640.42,3181.27,489.58,48070.0,N-19 P-11 K-12,Aspersion,27.32,40.32,59.8,24.14,0.7,Arenoso,6.1
2569,2863-09-18,2864-01-16,407.9,22.03,81.73,12.87,926.5,3892.88,457.59,46745.0,N-20 P-10 K-15,Aspersion,47.51,44.27,49.62,17.82,0.9,Arenoso,5.7
2570,2864-01-16,2864-05-15,909.21,23.34,65.79,12.09,998.79,3104.74,415.22,43120.0,N-14 P-12 K-12,Gravedad,46.38,30.94,50.8,34.76,0.8,Arenoso,6.2
2571,2864-05-15,2864-09-12,751.57,20.72,58.31,12.9,2122.88,3004.94,416.92,46375.0,N-14 P-16 K-18,Goteo,29.29,43.27,66.07,43.88,0.8,Arenoso,6.8
2572,2864-09-12,2865-01-10,650.73,26.93,63.98,12.18,2596.92,3749.63,465.18,42921.0,N-13 P-13 K-15,Gravedad,37.62,58.85,49.47,19.87,0.9,Arenoso,6.0
2573,2865-01-10,2865-05-10,538.39,19.35,57.18,12.49,254.49,3547.86,435.82,45916.0,N-13 P-19 K-11,Gravedad,47.81,50.23,43.77,11.54,0.6,Arcilloso,7.0
2574,2865-05-10,2865-09-07,980.61,21.17,61.26,12.27,3079.52,3622.91,435.23,44069.0,N-17 P-20 K-13,Gravedad,44.06,34.33,59.97,28.95,0.5,Arenoso,6.1
2575,2865-09-07,2866-01-05,793.12,23.21,80.13,12.35,2758.29,3852.9,477.95,41824.0,N-19 P-13 K-20,Goteo,20.78,42.19,44.52,13.15,0.6,Franco,5.9
2576,2866-01-05,2866-05-05,939.13,27.93,85.16,12.48,935.61,4546.23,482.07,48912.0,N-12 P-10 K-20,Aspersion,32.01,47.48,46.98,27.38,0.6,Arenoso,6.0
2577,2866-05-05,2866-09-02,530.88,18.91,54.18,12.19,1334.51,4310.47,466.78,43684.0,N-14 P-17 K-10,Gravedad,22.15,41.51,52.19,42.87,0.7,Arcilloso,6.6
2578,2866-09-02,2866-12-31,940.86,19.93,59.4,12.6,189.96,4260.14,480.74,47833.0,N-13 P-17 K-13,Gravedad,44.84,59.13,49.89,38.12,0.8,Arcilloso,6.0
2579,2866-12-31,2867-04-30,506.03,19.54,81.95,12.44,2362.96,3538.52,421.86,44261.0,N-20 P-20 K-16,Aspersion,27.37,49.57,47.7,26.93,1.0,Franco,7.2
2580,2867-04-30,2867-08-28,776.55,26.62,69.39,12.45,1638.71,4338.34,411.73,46556.0,N-16 P-12 K-19,Aspersion,38.1,31.56,40.52,40.22,1.0,Arcilloso,5.7
2581,2867-08-28,2867-12-26,555.66,26.61,69.71,12.42,1764.87,4508.7,402.03,46533.0,N-19 P-15 K-12,Aspersion,29.7,30.03,54.66,23.3,0.7,Arcilloso,7.4
2582,2867-12-26,2868-04-24,976.33,18.44,74.11,12.82,2799.15,4381.12,404.45,42789.0,N-16 P-11 K-13,Gravedad,39.14,58.68,60.08,22.54,1.0,Arcilloso,6.7
2583,2868-04-24,2868-08-22,636.28,23.07,73.51,13.0,1936.97,4966.2,405.69,40460.0,N-20 P-11 K-14,Aspersion,41.2,32.78,56.66,37.23,0.8,Franco,7.2
2584,2868-08-22,2868-12-20,778.52,21.24,77.6,12.93,3044.86,4916.61,427.05,44220.0,N-14 P-11 K-16,Aspersion,43.34,37.96,59.58,46.53,0.6,Franco,6.2
2585,2868-12-20,2869-04-19,824.63,18.36,64.7,12.64,996.03,4816.73,414.61,44342.0,N-13 P-17 K-10,Aspersion,41.61,59.68,63.61,16.67,0.8,Franco,5.8
2586,2869-04-19,2869-08-17,484.44,21.43,88.92,12.33,2967.03,4664.98,424.96,41822.0,N-14 P-13 K-20,Aspersion,40.98,51.93,46.21,44.37,0.8,Arenoso,5.7
2587,2869-08-17,2869-12-15,886.51,22.62,65.48,12.71,2674.03,3488.13,450.43,45390.0,N-13 P-12 K-15,Goteo,35.14,51.09,43.47,46.3,0.8,Arenoso,6.9
2588,2869-12-15,2870-04-14,742.12,18.95,60.94,12.21,694.98,4064.7,408.61,45146.0,N-20 P-10 K-13,Goteo,39.81,31.08,66.05,20.63,0.6,Arenoso,6.6
2589,2870-04-14,2870-08-12,606.03,25.9,86.15,12.52,2330.62,4377.03,401.67,44086.0,N-18 P-16 K-18,Goteo,26.89,47.13,60.61,13.13,0.5,Franco,6.5
2590,2870-08-12,2870-12-10,996.34,20.23,78.03,12.76,2630.9,3332.18,465.72,49648.0,N-16 P-13 K-14,Aspersion,34.79,34.77,65.51,10.45,0.7,Franco,5.7
2591,2870-12-10,2871-04-09,598.04,22.14,76.03,12.17,1402.22,4210.93,403.55,49166.0,N-18 P-19 K-17,Gravedad,47.0,51.22,48.89,33.22,0.7,Arcilloso,6.0
2592,2871-04-09,2871-08-07,703.18,19.42,50.9,12.09,2266.15,4743.52,415.87,43233.0,N-12 P-12 K-10,Aspersion,31.1,51.67,43.1,23.73,0.5,Franco,7.3
2593,2871-08-07,2871-12-05,504.55,20.78,52.81,12.62,359.75,4643.82,456.14,45589.0,N-20 P-19 K-18,Aspersion,48.28,42.78,55.37,25.05,0.5,Arcilloso,7.2
2594,2871-12-05,2872-04-03,946.34,20.77,59.14,12.58,1203.74,3180.93,465.72,49526.0,N-10 P-20 K-14,Aspersion,40.76,57.18,54.95,11.44,1.0,Franco,6.6
2595,2872-04-03,2872-08-01,940.73,27.4,61.72,12.18,1054.7,4428.78,415.87,45831.0,N-19 P-19 K-11,Gravedad,37.4,43.0,62.83,18.25,0.9,Franco,5.9
2596,2872-08-01,2872-11-29,869.1,20.95,81.53,12.19,2147.05,4754.71,409.81,42721.0,N-16 P-17 K-10,Aspersion,44.87,47.03,53.7,20.24,0.8,Franco,7.0
2597,2872-11-29,2873-03-29,894.66,21.47,65.66,12.27,1677.89,4411.85,441.57,48384.0,N-12 P-19 K-15,Goteo,38.38,57.06,46.74,21.04,0.7,Arcilloso,6.9
2598,2873-03-29,2873-07-27,709.11,19.18,76.39,12.52,2074.42,4404.03,402.74,47526.0,N-14 P-11 K-12,Aspersion,43.9,57.35,47.42,19.25,0.7,Arenoso,7.4
2599,2873-07-27,2873-11-24,664.31,19.1,61.09,12.96,1607.01,3835.41,478.51,47788.0,N-13 P-16 K-10,Goteo,22.45,55.5,55.57,44.31,0.9,Arcilloso,6.4
2600,2873-11-24,2874-03-24,971.6,18.91,51.03,12.97,2447.65,3175.29,464.31,43135.0,N-17 P-19 K-17,Gravedad,21.47,38.58,47.86,26.15,0.8,Arcilloso,7.1
2601,2874-03-24,2874-07-22,763.15,20.55,72.55,12.59,2620.2,3920.2,450.86,48039.0,N-10 P-15 K-11,Aspersion,29.03,31.38,65.26,19.25,0.9,Franco,7.0
2602,2874-07-22,2874-11-19,718.95,20.46,89.2,12.38,128.72,4978.63,432.57,49145.0,N-18 P-12 K-18,Gravedad,45.18,57.1,42.1,13.92,0.7,Franco,6.2
2603,2874-11-19,2875-03-19,453.92,23.69,75.14,12.62,2784.0,3740.37,487.04,40382.0,N-17 P-20 K-12,Gravedad,42.01,43.05,65.49,33.55,0.8,Arenoso,5.5
2604,2875-03-19,2875-07-17,763.6,25.97,65.8,12.75,473.04,3450.96,487.8,40497.0,N-15 P-20 K-18,Gravedad,22.24,52.77,43.5,15.91,0.9,Franco,6.7
2605,2875-07-17,2875-11-14,610.56,27.46,84.99,12.15,205.32,4404.18,448.84,47583.0,N-10 P-17 K-15,Goteo,28.45,57.52,49.24,22.65,0.7,Arcilloso,5.9
2606,2875-11-14,2876-03-13,870.93,24.44,76.2,12.27,2572.91,3199.53,472.15,41674.0,N-16 P-14 K-16,Gravedad,30.73,52.9,43.91,32.85,1.0,Franco,7.3
2607,2876-03-13,2876-07-11,623.25,22.42,77.78,12.76,283.52,3834.93,427.47,40155.0,N-11 P-10 K-16,Aspersion,48.49,57.55,55.38,19.93,0.8,Franco,7.5
2608,2876-07-11,2876-11-08,447.12,24.02,75.01,12.28,772.54,4100.0,412.31,45093.0,N-18 P-18 K-16,Goteo,49.53,31.06,54.87,44.12,0.6,Arenoso,6.2
2609,2876-11-08,2877-03-08,520.32,19.56,51.46,12.22,879.53,4878.84,458.1,43535.0,N-20 P-14 K-16,Goteo,21.03,50.35,50.82,48.58,0.9,Franco,6.9
2610,2877-03-08,2877-07-06,990.38,23.28,75.56,12.78,763.35,3215.11,444.01,45827.0,N-19 P-20 K-11,Gravedad,41.77,39.07,66.92,26.17,0.9,Franco,6.1
2611,2877-07-06,2877-11-03,705.36,26.8,62.94,12.85,2813.88,4748.98,405.21,46128.0,N-14 P-18 K-12,Aspersion,32.65,54.78,41.05,19.77,0.9,Franco,6.6
2612,2877-11-03,2878-03-03,952.97,24.45,87.06,12.74,2834.87,3333.5,444.07,45294.0,N-11 P-20 K-13,Aspersion,48.11,49.58,50.01,47.04,0.7,Arenoso,5.8
2613,2878-03-03,2878-07-01,907.09,26.69,73.6,12.55,2134.65,4093.73,449.93,42139.0,N-12 P-11 K-14,Goteo,42.23,46.79,56.57,38.39,0.7,Arenoso,6.1
2614,2878-07-01,2878-10-29,567.89,22.04,89.08,12.69,2795.1,4568.66,427.35,44247.0,N-10 P-15 K-20,Gravedad,21.92,30.19,69.27,23.96,0.8,Arenoso,5.7
2615,2878-10-29,2879-02-26,484.35,18.86,51.0,12.61,2025.79,4513.66,481.72,46553.0,N-16 P-19 K-15,Goteo,38.49,50.83,57.8,34.54,0.9,Arcilloso,6.2
2616,2879-02-26,2879-06-26,495.75,20.02,87.7,12.35,1059.34,4516.82,458.71,45219.0,N-16 P-18 K-12,Aspersion,22.56,46.99,58.98,13.28,0.7,Arenoso,6.7
2617,2879-06-26,2879-10-24,938.52,25.99,79.79,12.38,1713.32,4457.74,482.01,40903.0,N-15 P-17 K-17,Aspersion,48.12,58.75,51.29,45.53,0.6,Franco,6.6
2618,2879-10-24,2880-02-21,644.72,26.74,70.48,12.35,2405.76,3611.58,435.27,49737.0,N-15 P-12 K-19,Gravedad,23.1,50.98,43.99,37.71,0.9,Arcilloso,5.8
2619,2880-02-21,2880-06-20,452.3,18.86,51.09,12.24,2967.03,4338.99,441.08,48188.0,N-17 P-20 K-17,Aspersion,47.09,44.25,68.82,33.74,0.8,Arcilloso,5.6
2620,2880-06-20,2880-10-18,986.32,24.57,57.04,12.56,1436.1,3028.39,429.1,43266.0,N-10 P-17 K-13,Aspersion,28.37,54.71,58.94,20.5,0.5,Franco,7.5
2621,2880-10-18,2881-02-15,676.19,22.89,81.99,12.7,1717.02,3639.35,419.68,43175.0,N-18 P-13 K-15,Goteo,46.62,39.65,42.48,47.78,0.6,Franco,6.4
2622,2881-02-15,2881-06-15,444.87,24.82,52.19,12.94,154.31,3281.68,475.68,46946.0,N-20 P-11 K-20,Gravedad,43.0,45.21,42.4,21.24,0.6,Arenoso,7.2
2623,2881-06-15,2881-10-13,970.13,27.89,72.47,12.68,534.17,3954.47,450.52,43004.0,N-12 P-19 K-14,Gravedad,29.29,49.7,63.63,39.01,0.7,Arcilloso,5.7
2624,2881-10-13,2882-02-10,879.25,24.53,54.22,12.52,1074.99,3802.49,477.3,40452.0,N-11 P-10 K-19,Gravedad,24.72,53.66,65.43,49.57,1.0,Arenoso,6.6
2625,2882-02-10,2882-06-10,516.14,23.33,84.6,12.95,1265.68,3505.24,427.23,44052.0,N-12 P-15 K-13,Goteo,27.32,51.67,45.36,10.93,0.9,Franco,6.2
2626,2882-06-10,2882-10-08,679.95,24.13,88.64,12.26,2851.69,4126.91,499.92,44943.0,N-20 P-12 K-18,Aspersion,31.34,57.08,69.02,16.34,0.5,Franco,6.4
2627,2882-10-08,2883-02-05,713.52,26.25,67.7,12.77,414.82,3421.13,480.53,40050.0,N-10 P-12 K-17,Gravedad,22.41,52.84,60.37,10.32,0.8,Arenoso,6.9
2628,2883-02-05,2883-06-05,534.04,20.01,71.92,12.17,1134.93,4983.22,463.75,47911.0,N-15 P-14 K-13,Gravedad,34.34,50.11,61.91,10.59,0.8,Arcilloso,7.2
2629,2883-06-05,2883-10-03,751.4,27.38,69.35,12.63,2419.41,4554.79,410.85,46945.0,N-14 P-19 K-16,Goteo,30.34,35.06,57.42,20.33,0.7,Arcilloso,6.4
2630,2883-10-03,2884-01-31,487.41,26.42,50.89,12.37,368.59,3289.98,462.42,43760.0,N-19 P-15 K-15,Goteo,28.46,55.06,62.99,42.59,0.6,Arenoso,5.6
2631,2884-01-31,2884-05-30,462.36,25.23,74.94,12.26,637.07,3108.49,478.31,49891.0,N-12 P-18 K-18,Goteo,35.6,36.67,46.36,45.86,0.6,Franco,5.7
2632,2884-05-30,2884-09-27,725.1,23.65,71.13,12.07,2419.22,3718.22,483.12,45269.0,N-18 P-14 K-17,Goteo,25.05,31.62,47.1,11.25,0.7,Arenoso,7.3
2633,2884-09-27,2885-01-25,924.19,27.2,67.82,12.42,2719.22,3126.85,466.02,44200.0,N-12 P-16 K-14,Goteo,30.46,55.63,63.82,22.25,0.7,Franco,7.3
2634,2885-01-25,2885-05-25,481.7,20.29,81.38,12.09,1769.6,4294.05,402.05,48032.0,N-18 P-17 K-15,Goteo,40.97,44.97,59.01,31.12,1.0,Arenoso,6.8
2635,2885-05-25,2885-09-22,868.96,20.87,55.64,12.98,1725.91,4589.3,456.38,44176.0,N-18 P-14 K-18,Aspersion,30.68,46.06,45.41,47.82,0.8,Franco,6.0
2636,2885-09-22,2886-01-20,884.12,21.43,62.45,12.32,2402.57,4722.96,464.66,48808.0,N-20 P-10 K-16,Gravedad,24.87,33.92,56.21,48.68,0.5,Franco,5.7
2637,2886-01-20,2886-05-20,617.55,24.99,64.05,12.83,492.59,4674.97,460.34,40930.0,N-13 P-10 K-13,Goteo,40.62,40.79,56.59,13.8,0.8,Arenoso,6.6
2638,2886-05-20,2886-09-17,606.05,21.87,79.96,12.01,2638.6,3268.35,421.26,44952.0,N-14 P-19 K-18,Aspersion,48.47,54.28,47.07,15.39,0.8,Arenoso,6.2
